,name,reviews,score,year,month,day
0,김지훈,주점에서 한 번이라도 수정을 사용해서 좋은 캐릭터 얻으면 그 다음부터는 최악의 확률로 바뀌어서 수정을 사용하지 않으면 두 번 다시 좋은 캐릭터를 받기가 어려운 시스템 매번 과금 유도로 적당한 게임을 즐기지 못하는 게임 돈 입금 안 하면 절대로 후반에서는 게임을 할 수 없게끔 시스템에서 막아 놓은 게임,1,2023,3,17
1,김유식 (혼돈의 로즈),"랜덤뽑기 3개중 전설등급이 2개가 떠 있어도 단 1개의 하위등급에 거의 대부분 우선 선택된다. 랜덤3개가 전설 뜨는 경우 자체도 드문데 뽑기까지 확률조작으로 하위등급이 뽑히게 해놔서 같은 캐릭 강화시키도 힘들다. 무엇보다 게임 자체가 똑같은 사냥 모인 금화로 뽑기 반복인데, 게임플레이도 반복지루한데 뽑기조작으로 강화도 안되어 진행도 점점 힘들어진다.",1,2023,3,19
2,c l,"조작 개선이 필요한것 같습니다. 이동이 끝날 때, 이동하려는 방향의 반대방향으로 캐릭터가 자꾸 움직입니다. 유저가 원하는대로 캐릭터가 움직이지 않아서 게임 플레이가 힘듭니다. 수정) 정확히 말씀드리면 이동에 선 딜레이가 있는것 같습니다. 조작 후 0.5~1초정도 뒤에 캐릭터가 움직이고, 조작 종료 후 이동반대방향으로 딜레이된 시간만큼 움직이는것 같습니다.",1,2023,3,10
3,김진규,1.캐릭터 렙업하려면 해당캐릭터 카드가 있어야함. 2.쓸만한 캐릭은 주점에서 가챠로 구할 수 있음. 3.말그대로 가챠인데 확률이 누가봐도 초반에만 잘뜨게 만들어놨음. 4.초반에 획득만 하게 해놓고 뒤로갈수록 가챠확률을 조져놔서 결국 업그레이드를 못해서 쓸수가없음. 5.쓸만한 힐러들은 다 등급이 높음. 6.결국 과금안하면 rpg게임 기본 직업군 힐러조차 없는거나 마찬가지라서 유저렙 30전후로 사냥터 나가면 캐릭들 10초이내 다 찢김ㅋㅋㅋ,1,2023,4,22
4,사라나,"게임 자체는 나쁘지 않은데요, 뽑기 확률은 인간적으로 너무 낮습니다, 확률 조작한듯요. 보라/노란색 영웅이 뜨면 뭐해, 어차피 3개중 99.9% 확률로 제일 쓰레기만 뽑히는데. 욕심이 많으면 유저를 잃고 망하는 지름길이에요. 그리고 아직 컨텐츠가 그리 많지는 않고 붉은 보석은 구경도 못할겁니다 포기하세요",1,2023,3,9
5,티디스,문제점 1 요즘 더럽게 욕먹고있는 뉴비만 좋은거 뽑는거 확률증가 시스템(이탈 방지 시스템) 이거는 확실한게 초반에는 그런게 안느껴졌는데 나중에가니까 1/19683 정도로 떨어지는게 말이되냐 문제점2 더러울정도로 요구하는 과금강조 시스템 광고를 뭐이리 많이 넣어두는지 의문이 드네요 결론 초반뽑기는 좋은 겜이지만 후반으로갈수록 진부하게 구간이 반복되는 게임 거기에 흔해빠진 뽑기 주작 게임(하지마),1,2023,4,5
6,박사신,"별 1점 주기도 아까운게임 개 쓰레기라고 해도 아깝지 않다. 현질요구는 생각보다 크면서 성장치가 한계로 막혀있고, 게임 방치중 조금이라도 인터넷이 끊기는순간 다시 연결된다해도 끊기기전 데이터로 지속되며 인터넷 재연결 시도를 했다는 사실은 악쓰고 무시한다. 과금효율은 탕탕특공대 10분의 1도 못미치고 방치형게임의 면모는 찾아볼수 없고, 우루루 몰려다니긴 개뿔 시작이 3명이고 30렙쯤 되어야 6명이다. 시간은 오지게 걸리는데 버그는 난무하고 데이터저장이 서버라 오프라인이 0.1초라도 나오는순간 데이터는 증발하는셈. 한줄요약 : 쓰레기겜, 하지마세요",1,2023,4,20
7,마블링,진짜 컨텐츠 못 만든다. 그렇게도 생각 나는게 없나? 내가 더 잘 만들듯. 솔직히 자원 두배로 캐는 아이템을 내놓았으면 저장소를 늘리거나 모은 자원 소비할수 있게 해줘야하는게 기본 아닌가? 게임은 해보고 만드는건가. 그리고 폰게임을 대체 무슨 게임으로 생각하길래 오래 붙잡게 만들려고 벚꽃 드랍률 거지같이 해놨네. 제대로 쳐 만들어라. 또 이 게임 주컨텐츠가 영웅 뽑아서 업글하는건데 골드 모을수 있는게 너무 적다고 생각 안하나?,1,2023,4,15
8,BBT BLTA,좋은캐릭터얻을확률도 높고 파밍이 어렵지도 않고 필드 난이도가 급상승하지도 않음 그럼에도 현질안하면 게임을 못함 지역을 언락할때마다 아직할만한데? 아직 괜찮은데? 하다가 어느샌가부터 던전을 가보면 절반도 못가고 죽어버리고 부활해도 3층쯤에서 털림 용병단 인원수늘리는 붉은수정은 현질이나 던전에서만 얻을수있는데 인원수가 부족해서 던전을 못깨는 악순환. 파밍해서 레벨올리고 템장착하기도 인원수가딸려서 레벨낮은지역 파밍해야해서 오래걸림 그쯤되면 결국 그저그런 양산형게임과 다를바가 없어져서 자동돌리다가 자원모인거 한번쓰고 자동돌리기의 반복 이제 삭제해야겠다,1,2023,3,9
9,Hibird93,"재화, 난이도, 뽑기 모든 밸런스가 처참히 부서진 만들다 만 게임 잡몹들이 원콤이 안나는 순간부터 압도적인 물량에 탱커가 녹으며 난이도가 급상승하고 파밍용으로 만들어진 던전은 유저 레벨에 맞게 매칭되어 성장을 의미없게 만들어버리며 필수재화인 골드와 붉은 보석은 랜덤으로 나와 수급가능한 재화의 양을 가늠할 수 없게 만들어버린다. 광고제거로 돈받아먹고 튈 생각으로 출시한 게임같음",1,2023,3,6
